regNo,TCC,TCE,TPE,GPA,PrevCCC,PrevCCE,PrevCPE,PrevCGPA,CCC,CCE,CPE,CGPA,session ,semester,level
21/58213/UE,18,17,53,2.94,45,45,138,3.07,63,62,191,3.03,2023/2024,1,200
22/58513/UE,18,18,57,3.17,32,32,102,3.19,50,50,159,3.18,2023/2024,1,200
