regNo,TCC,TCE,TPE,GPA,PrevCCC,PrevCCE,PrevCPE,PrevCGPA,CCC,CCE,CPE,CGPA,session,semester,level
13/27375/UE,20,20,31,1.55,224,130,291,1.3,244,150,322,1.32,2020/2021,1,400
15/34384/UE,23,23,24,1.04,199,108,216,1.09,222,131,240,1.08,2020/2021,1,400
15/34404/UE,21,21,37,1.76,188,129,318,1.69,209,150,355,1.7,2020/2021,1,400
17/40428/UE,2,2,2,1,184,153,326,1.77,186,155,328,1.76,2020/2021,1,400
17/43809/UE,10,10,29,2.9,183,139,343,1.87,193,149,372,1.93,2020/2021,1,400
17/43812/UE,5,5,8,1.6,176,146,324,1.84,181,151,332,1.83,2020/2021,1,400
17/43815/UE,5,5,14,2.8,177,147,338,1.91,182,152,352,1.93,2020/2021,1,400
